,0,1
481,983,233
482,1667,233
483,683,233
484,126,232
485,1842,232
486,1719,232
487,540,232
488,604,232
489,1826,231
490,1256,231
491,744,231
492,330,231
493,1646,231
494,61,230
495,449,230
496,324,228
497,1557,228
498,242,227
499,1136,227
500,1470,227
501,277,226
502,1374,226
503,730,226
504,465,225
505,1416,225
506,2004,225
507,82,225
508,349,225
509,614,225
510,1405,225
511,788,225
512,1882,225
513,315,224
514,1899,224
515,1067,224
516,1338,224
517,21,224
518,673,224
519,647,224
520,1567,223
521,1971,223
522,1728,223
523,1166,223
524,1179,223
525,348,222
526,1353,222
527,387,222
528,1035,222
529,1200,221
530,339,220
531,1543,220
532,1963,220
533,115,220
534,477,220
535,984,219
536,697,219
537,519,219
538,150,219
539,1784,219
540,1975,219
541,1090,219
542,1824,219
543,187,219
544,143,218
545,2025,218
546,441,218
547,2014,218
548,1769,218
549,1409,218
550,1024,218
551,500,218
552,1027,218
553,7,217
554,1785,217
555,510,217
556,1160,217
557,1283,216
558,1181,216
559,182,216
560,1993,216
561,693,216
562,1212,216
563,910,215
564,1846,215
565,394,214
566,641,214
567,111,214
568,1503,214
569,2005,213
570,1703,213
571,939,212
572,558,212
573,1685,212
574,1014,212
575,1934,211
576,1178,211
577,536,211
578,552,211
579,722,210
580,1013,210
581,547,210
582,1180,210
583,435,210
584,1384,210
585,1367,210
586,1912,209
587,1208,209
588,1881,209
589,1412,208
590,1018,208
591,1191,208
592,313,208
593,1461,208
594,1967,208
595,1259,207
596,2045,207
597,322,207
598,803,207
599,1969,207
600,643,207
601,1520,207
602,1471,207
603,185,207
604,995,206
605,1196,206
606,852,206
607,1038,206
608,389,206
609,33,206
610,1204,206
611,1106,205
612,895,205
613,1815,205
614,682,205
615,309,205
616,2010,205
617,573,205
618,1735,205
619,501,205
620,1944,204
621,586,204
622,772,204
623,1091,204
624,1818,204
625,411,204
626,583,203
627,390,203
628,932,203
629,1456,202
630,473,202
631,1190,202
632,680,202
633,84,202
634,1502,201
635,1712,201
636,825,201
637,1241,201
638,1147,201
639,1714,201
640,865,201
641,1380,200
642,1460,200
643,146,200
644,1669,200
645,1133,200
646,1215,200
647,303,200
648,1393,199
649,69,199
650,481,199
651,1989,199
652,305,199
653,652,199
654,1746,199
655,1498,199
656,1869,199
657,181,198
658,1432,198
659,1043,198
660,2046,198
661,1595,198
662,622,197
663,422,197
664,241,197
665,486,197
666,1700,197
667,855,197
668,755,196
669,25,196
670,252,196
671,1307,196
672,365,196
673,762,196
674,1787,196
675,1378,196
676,933,196
677,1561,196
678,290,196
679,34,195
680,508,195
681,1507,195
682,228,194
683,914,194
684,1314,194
685,1591,194
686,990,194
687,946,194
688,1951,194
689,83,194
690,497,194
691,1206,193
692,1116,193
693,718,193
694,10,193
695,110,192
696,1838,192
697,587,192
698,376,192
699,1159,192
700,1056,192
701,1563,192
702,885,192
703,321,191
704,2026,191
705,893,191
706,1829,191
707,375,191
708,207,191
709,253,190
710,1141,190
711,74,190
712,764,190
713,1790,190
714,1767,190
715,188,190
716,405,190
717,1523,190
718,1010,190
719,996,189
720,307,189
721,101,189
722,1527,189
723,346,189
724,326,189
725,888,189
726,1940,188
727,1687,188
728,891,188
729,104,188
730,847,188
731,1360,187
732,1711,187
733,1131,187
734,1865,187
735,1117,187
736,1984,186
737,1477,186
738,746,186
739,787,186
740,1603,186
741,1656,185
742,1765,185
743,1400,185
744,1996,185
745,491,185
746,602,185
747,351,185
748,1738,185
749,529,185
750,1289,184
751,1888,184
752,616,184
753,760,184
754,596,184
755,1939,184
756,15,184
757,2021,184
758,160,184
759,1590,184
760,1923,184
761,1530,183
762,190,183
763,310,183
764,399,183
765,475,183
766,669,183
767,1725,183
768,269,182
769,1351,182
770,268,182
771,262,182
772,1759,182
773,977,182
774,135,182
775,1805,182
776,1781,182
777,504,181
778,874,181
779,1128,181
780,1947,181
781,443,181
782,624,181
783,1123,181
784,1221,181
785,1539,181
786,1129,181
787,1970,180
788,1042,180
789,581,180
790,1327,180
791,40,180
792,1883,179
793,1313,179
794,679,179
795,894,179
796,377,179
797,1226,179
798,957,179
799,889,179
800,1690,179
801,909,178
802,924,178
803,1108,178
804,1370,178
805,271,178
806,1100,178
807,1451,178
808,1310,178
809,786,178
810,1229,177
811,1383,177
812,1952,177
813,116,177
814,725,177
815,1089,176
816,794,176
817,561,176
818,1621,176
819,1791,176
820,1137,176
821,1328,176
822,1516,175
823,1408,175
824,1534,175
825,1798,175
826,1252,175
827,527,174
828,461,174
829,548,174
830,97,174
831,1636,174
832,1856,174
833,678,174
834,1440,174
835,27,174
836,1976,173
837,1084,173
838,708,173
839,466,173
840,251,173
841,535,172
842,102,172
843,1799,172
844,993,172
845,572,172
846,189,172
847,1207,172
848,736,172
849,1329,171
850,460,171
851,1169,171
852,1670,171
853,1981,171
854,141,171
855,823,171
856,2030,171
857,1134,171
858,927,171
859,1357,170
860,1130,170
861,2033,170
862,71,170
863,98,170
864,864,170
865,215,170
866,1494,170
867,907,170
868,1828,170
